Wed Jun 09 19:25:10 2010

Number of Points = 6000
Depth (nm)	Load (µN)	Time (s)
1038.812067	16.373050	5.216667
1042.695338	16.568533	5.233333
1046.255285	16.466713	5.250000
1050.300394	16.636072	5.266667
1053.860159	16.714951	5.283333
1057.581764	16.766031	5.300000
1061.303188	16.997809	5.316667
1065.186631	17.022506	5.333333
1068.908232	17.077269	5.350000
1072.467992	17.162087	5.366667
1076.351431	17.190208	5.383333
1080.072847	17.429348	5.400000
1083.794444	17.488932	5.416667
1087.515857	17.731216	5.433333
1091.237451	17.793347	5.450000
1095.120884	17.827720	5.466667
1098.842293	18.074562	5.483333
1102.725723	18.111492	5.500000
1106.123814	18.053274	5.516667
1110.168716	18.429862	5.533333
1113.890302	18.499380	5.550000
1117.773728	18.541160	5.566667
1121.333472	18.641841	5.583333
1125.054870	18.899216	5.600000
1128.776452	18.973571	5.616667
1132.497847	19.234100	5.633333
1136.381451	19.096849	5.650000
1140.264869	19.145778	5.666667
1143.986260	19.410550	5.683333
1147.384156	19.548606	5.700000
1151.429597	19.386020	5.716667
1154.989144	19.683879	5.733333
1158.710716	19.767660	5.750000
1162.432099	20.039828	5.766667
1166.639189	20.039658	5.783333
1169.875237	20.213657	5.800000
1174.082136	20.403912	5.816667
1177.641862	20.522798	5.833333
1181.525267	20.585178	5.850000
1185.085179	20.517435	5.866667
1188.806553	20.799852	5.883333
1192.689954	20.865685	5.900000
1196.411514	20.961484	5.916667
1200.133073	21.058431	5.933333
1203.854631	21.156528	5.950000
1207.252317	21.503973	5.966667
1211.621232	21.489441	5.983333
1215.019106	21.648852	6.000000
1218.902499	21.723026	6.016667
1222.462210	21.855933	6.033333
1226.345409	22.124423	6.050000
1230.067150	22.038837	6.066667
1233.950346	22.310179	6.083333
1237.510053	22.447951	6.100000
1241.555472	22.307468	6.116667
1244.791497	22.504811	6.133333
1248.674880	22.588225	6.150000
1252.719909	22.837932	6.166667
1256.279610	22.981456	6.183333
1260.001150	23.097372	6.200000
1263.884529	23.185689	6.216667
1267.444421	23.137690	6.233333
1271.327603	23.423299	6.250000
1275.048943	23.739416	6.266667
1278.932316	23.832640	6.283333
1282.492205	23.788376	6.300000
1286.375577	23.883648	6.316667
1290.097108	24.008811	6.333333
1293.818440	24.332063	6.350000
1297.702006	24.233884	6.366667
1301.423533	24.362521	6.383333
1304.983219	24.521032	6.400000
1308.704744	24.651981	6.416667
1312.426069	24.982373	6.433333
1316.309432	25.087203	6.450000
1320.031152	25.023074	6.466667
1323.914512	25.129960	6.483333
1327.474191	25.295405	6.500000
1331.357549	25.404617	6.516667
1334.917226	25.572375	6.533333
1338.962421	25.655227	6.550000
1342.522296	25.624913	6.566667
1346.405449	25.939172	6.583333
1350.126760	26.283881	6.600000
1353.848472	26.227761	6.616667
1357.731620	26.546667	6.633333
1361.291490	26.520997	6.650000
1364.851158	26.698022	6.666667
1368.896344	26.790223	6.683333
1372.456212	26.767010	6.700000
1376.177513	27.121420	6.716667
1379.899016	27.274434	6.733333
1383.944198	27.371319	6.750000
1387.665698	27.526667	6.766667
1391.549241	27.450621	6.783333
1394.785220	27.693941	6.800000
1398.668557	27.823872	6.816667
1402.713733	27.926345	6.833333
1406.435228	28.087251	6.850000
1410.156722	28.249322	6.866667
1413.878214	28.412560	6.883333
1417.599706	28.576965	6.900000
1421.483036	28.713923	6.916667
1425.042685	28.909274	6.933333
1428.764380	28.870605	6.950000
1432.485660	29.246254	6.966667
1436.207353	29.209376	6.983333
1440.252517	29.323322	7.000000
1443.650321	29.552821	7.016667
1447.533643	29.697708	7.033333
1451.255124	29.872356	7.050000
1455.300284	29.991009	7.066667
1458.859923	30.196584	7.083333
1462.419561	30.403321	7.100000
1466.303087	30.344840	7.116667
1470.024353	30.734581	7.133333
1474.069716	30.649341	7.150000
1477.629560	30.650491	7.166667
1481.188982	31.072791	7.183333
1484.910453	31.257708	7.200000
1488.793762	31.415245	7.216667
1492.677282	31.362877	7.233333
1496.075070	31.608138	7.250000
1499.958376	31.768931	7.266667
1503.841681	31.930904	7.283333
1507.563358	31.910480	7.300000
1511.284821	32.103071	7.316667
1515.168123	32.268307	7.333333
1518.889797	32.250380	7.350000
1522.611043	32.659369	7.366667
1526.170876	32.671764	7.383333
1530.216226	32.599298	7.400000
1533.937469	33.012302	7.416667
1537.335459	33.055697	7.433333
1541.218753	33.228639	7.450000
1545.102046	33.402765	7.466667
1548.823498	33.606574	7.483333
1552.221270	33.868550	7.500000
1556.428239	33.989233	7.516667
1559.988063	34.009313	7.533333
1563.871351	34.189075	7.550000
1567.430957	34.426985	7.566667
1571.476298	34.364121	7.583333
1575.197526	34.792425	7.600000
1578.919186	34.788334	7.616667
1582.316949	35.059145	7.633333
1586.362069	35.217266	7.650000
1590.245566	35.187222	7.666667
1593.967004	35.404369	7.683333
1597.526602	35.651151	7.700000
1601.248039	35.870656	7.716667
1604.969474	36.091344	7.733333
1608.691127	36.094085	7.750000
1612.574400	36.288422	7.766667
1616.296051	36.292771	7.783333
1620.017262	36.737532	7.800000
1623.900752	36.715268	7.816667
1627.622401	36.722135	7.833333
1631.181768	37.199358	7.850000
1635.065255	37.179621	7.866667
1639.110359	37.353309	7.883333
1642.508326	37.420434	7.900000
1646.068131	37.459836	7.916667
1650.113233	37.636544	7.933333
1653.510975	37.928062	7.950000
1657.717913	38.078758	7.966667
1661.439332	38.315847	7.983333
1664.999133	38.359580	8.000000
1668.720326	38.821973	8.016667
1672.603805	38.810749	8.033333
1676.163603	38.856996	8.050000
1680.046856	39.071088	8.066667
1683.768268	39.314750	8.083333
1687.975198	39.474488	8.100000
1691.211539	39.356232	8.116667
1695.094787	39.574544	8.133333
1698.816195	39.822413	8.150000
1702.699442	40.043115	8.166667
1706.421073	40.067655	8.183333
1709.980638	40.347172	8.200000
1713.702268	40.373327	8.216667
1717.423670	40.626595	8.233333
1721.468751	40.824373	8.250000
1725.190151	41.080031	8.266667
1728.749938	41.137973	8.283333
1732.309269	41.651577	8.300000
1736.516412	41.598036	8.316667
1740.076196	41.658506	8.333333
1743.959430	41.891253	8.350000
1747.357373	41.981654	8.366667
1751.240377	42.445282	8.383333
1755.124065	42.223593	8.400000
1758.845456	42.488884	8.416667
1762.405235	42.554200	8.433333
1766.288234	43.023047	8.450000
1770.171690	43.033603	8.466667
1773.893306	43.073163	8.483333
1777.452852	43.372165	8.500000
1781.497915	43.587505	8.516667
1784.734241	43.483517	8.533333
1788.779302	43.700703	8.550000
1792.662523	43.947375	8.566667
1796.384134	43.991816	8.583333
1799.943441	44.529131	8.600000
1804.150569	44.490621	8.616667
1807.548499	44.594136	8.633333
1811.270107	44.641833	8.650000
1814.829643	44.951390	8.666667
1818.712855	45.205640	8.683333
1822.434228	45.489341	8.700000
1826.479277	45.717759	8.716667
1830.039276	45.564152	8.733333
1833.599040	45.644980	8.750000
1837.482013	46.138851	8.766667
1841.527058	46.371546	8.783333
1844.925215	46.248435	8.800000
1848.808419	46.511211	8.816667
1852.853461	46.746978	8.833333
1856.413220	46.832906	8.850000
1860.134818	46.891328	8.866667
1863.694339	47.214790	8.883333
1867.739377	47.454838	8.900000
1871.299133	47.544024	8.916667
1875.182566	47.577520	8.933333
1878.580244	47.933422	8.950000
1882.463438	48.205944	8.966667
1886.346869	48.242015	8.983333
1890.068222	48.544864	9.000000
1894.113491	48.554405	9.016667
1897.349562	48.705550	9.033333
1901.394352	49.193757	9.050000
1905.115939	49.262226	9.066667
1909.161205	49.275079	9.083333
1912.397273	49.429465	9.100000
1916.280458	49.711481	9.116667
1920.002042	49.783019	9.133333
1923.885465	49.827119	9.150000
1927.444968	50.168511	9.166667
1931.004471	50.511103	9.183333
1935.211329	50.742338	9.200000
1938.932909	50.818097	9.216667
1942.492649	50.922705	9.233333
1946.376067	50.971762	9.250000
1949.935564	51.319550	9.266667
1953.818738	51.612295	9.283333
1957.540314	51.692062	9.300000
1961.423729	51.744430	9.316667
1964.983221	52.096487	9.333333
1968.866391	52.393533	9.350000
1972.588207	52.233360	9.366667
1976.309780	52.316928	9.383333
1980.031108	52.644880	9.400000
1983.914273	52.945951	9.416667
1987.635843	53.032103	9.433333
1991.357412	53.118974	9.450000
1995.078736	53.451219	9.466667
1998.638464	53.567821	9.483333
2002.521379	54.119348	9.500000
2006.405030	53.936235	9.516667
2010.126594	54.027131	9.533333
2013.524234	54.420738	9.550000
2017.892908	54.647178	9.566667
2021.452632	54.768726	9.583333
2025.497872	54.806825	9.600000
2028.572076	55.013963	9.616667
2032.617067	55.300576	9.633333
2036.176787	55.425203	9.650000
2040.221777	55.713987	9.666667
2043.943334	55.812229	9.683333
2047.503052	55.939226	9.700000
2051.386199	56.259154	9.716667
2055.269594	56.331750	9.733333
2058.505631	56.517163	9.750000
2062.550614	56.812171	9.766667
2066.272167	56.915174	9.783333
2070.155309	57.240371	9.800000
2073.876860	57.345037	9.816667
2077.598160	57.700406	9.833333
2081.319960	57.556537	9.850000
2085.041259	57.913784	9.866667
2089.086234	58.216265	9.883333
2092.484354	58.130054	9.900000
2096.205650	58.490399	9.916667
2100.089034	58.572576	9.933333
2103.810579	58.683463	9.950000
2107.531872	59.046914	9.966667
2111.415254	59.131494	9.983333
2114.974958	59.272742	10.000000
2118.696247	59.639296	10.016667
2122.417535	60.007072	10.033333
2126.463006	59.813991	10.050000
2129.860868	59.986298	10.066667
2134.067670	60.273050	10.083333
2137.788954	60.644888	10.100000
2141.348906	60.537860	10.116667
2144.908095	61.193781	10.133333
2148.791723	61.032041	10.150000
2152.836682	61.352065	10.166667
2156.396376	61.502131	10.183333
2159.956070	61.652919	10.200000
2163.677347	62.031917	10.216667
2167.560717	62.128531	10.233333
2171.444087	62.225879	10.250000
2174.841939	62.407692	10.266667
2178.886890	62.734939	10.283333
2182.446579	62.890507	10.300000
2186.329945	62.990999	10.316667
2190.213054	63.349289	10.333333
2193.772741	63.507252	10.350000
2197.494266	63.638050	10.366667
2201.215533	64.027356	10.383333
2205.260734	64.104068	10.400000
2208.658579	64.293032	10.416667
2212.703520	64.629715	10.433333
2216.263202	64.792471	10.450000
2220.146561	64.900219	10.466667
2223.868081	65.036567	10.483333
2227.589600	65.173645	10.500000
2231.149019	65.598958	10.516667
2235.032375	65.709861	10.533333
2238.915730	65.821502	10.550000
2242.475407	65.989570	10.566667
2246.520339	66.335427	10.583333
2250.080275	66.244367	10.600000
2253.963367	66.619975	10.616667
2257.361201	66.819006	10.633333
2261.406129	67.168975	10.650000
2265.127640	67.314030	10.666667
2268.849150	67.459818	10.683333
2272.570660	67.606339	10.700000
2276.454007	67.725782	10.716667
2279.851837	67.929388	10.733333
2283.734920	68.313198	10.750000
2287.618529	68.171955	10.766667
2291.339771	68.585482	10.783333
2294.899437	68.764419	10.800000
2298.782516	69.152341	10.816667
2302.665594	69.541507	10.833333
2306.387360	69.430958	10.850000
